Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status,TotalDelay
KL,461,2024-03-13 06:15:00,2024-03-13 06:45:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,30.0
KQ,1461,2024-03-13 06:30:00,2024-03-13 06:49:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,19.0
LH,682,2024-03-13 06:30:00,2024-03-13 06:49:00,A,MUC,MUNICH,GERMANY,3,LANDED,19.0
TK,810,2024-03-13 06:50:00,2024-03-13 06:59:00,A,IST,ISTANBUL,TURKEY,3,LANDED,9.0
AA,8373,2024-03-13 06:50:00,2024-03-13 06:59:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,9.0
AM,7876,2024-03-13 06:50:00,2024-03-13 06:59:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,9.0
LY,318,2024-03-13 06:50:00,2024-03-13 07:03:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,13.0
ET,404,2024-03-13 06:50:00,2024-03-13 07:07:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED,17.0
LY,8804,2024-03-13 07:00:00,2024-03-13 07:15:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED,15.0
LY,2374,2024-03-13 07:00:00,2024-03-13 07:17:00,A,BER,BERLIN,GERMANY,3,LANDED,17.0
AZ,810,2024-03-13 07:00:00,2024-03-13 07:21:00,A,FCO,ROME,ITALY,3,LANDED,21.0
LX,256,2024-03-13 07:10:00,2024-03-13 07:28:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED,18.0
AM,7854,2024-03-13 06:55:00,2024-03-13 07:30:00,A,CDG,PARIS,FRANCE,3,LANDED,35.0
LY,326,2024-03-13 07:05:00,2024-03-13 07:33:00,A,CDG,PARIS,FRANCE,3,LANDED,28.0
LY,614,2024-03-13 06:25:00,2024-03-13 07:42:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED,77.0
DL,5937,2024-03-13 06:25:00,2024-03-13 07:42:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,77.0
VS,453,2024-03-13 08:20:00,2024-03-13 07:59:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,0.0
LO,151,2024-03-13 07:30:00,2024-03-13 08:02:00,A,WAW,WARSAW,POLAND,3,LANDED,32.0
LY,376,2024-03-13 07:20:00,2024-03-13 08:08:00,A,LIS,LISBON,PORTUGAL,3,LANDED,48.0
TP,8913,2024-03-13 08:00:00,2024-03-13 08:10:00,A,LIS,LISBON,PORTUGAL,3,LANDED,10.0
OK,5288,2024-03-13 07:45:00,2024-03-13 08:13:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED,28.0
QS,1286,2024-03-13 07:30:00,2024-03-13 08:16:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED,46.0
6H,7768,2024-03-13 08:05:00,2024-03-13 08:24:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED,19.0
AM,7878,2024-03-13 08:05:00,2024-03-13 08:24:00,A,MAD,MADRID,SPAIN,3,LANDED,19.0
AR,7870,2024-03-13 08:05:00,2024-03-13 08:25:00,A,MAD,MADRID,SPAIN,3,LANDED,20.0
IB,2397,2024-03-13 08:20:00,2024-03-13 08:31:00,A,MAD,MADRID,SPAIN,3,LANDED,11.0
LY,398,2024-03-13 08:20:00,2024-03-13 08:31:00,A,MAD,MADRID,SPAIN,3,LANDED,11.0
FX,5065,2024-03-13 09:05:00,2024-03-13 08:40:00,A,CGN,COLOGNE,GERMANY,3,LANDED,0.0
AZ,809,2024-03-13 09:05:00,2024-03-13 08:40:00,D,FCO,ROME,ITALY,3,DEPARTED,0.0
DL,6655,2024-03-13 09:05:00,2024-03-13 08:40:00,D,FCO,ROME,ITALY,3,DEPARTED,0.0
AF,8424,2024-03-13 09:05:00,2024-03-13 08:40:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED,0.0
DL,9690,2024-03-13 08:45:00,2024-03-13 08:51:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED,6.0
KL,462,2024-03-13 08:35:00,2024-03-13 09:04:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED,29.0
KQ,1462,2024-03-13 08:45:00,2024-03-13 09:09:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED,24.0
PC,786,2024-03-13 09:00:00,2024-03-13 09:15:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED,15.0
LH,691,2024-03-13 09:00:00,2024-03-13 09:15:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED,15.0
A3,929,2024-03-13 09:00:00,2024-03-13 09:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED,15.0
IZ,298,2024-03-13 09:15:00,2024-03-13 09:31:00,A,IAS,IASI,ROMANIA,3,LANDED,16.0
LO,152,2024-03-13 09:15:00,2024-03-13 09:31:00,D,WAW,WARSAW,POLAND,3,DEPARTED,16.0
LY,554,2024-03-13 09:15:00,2024-03-13 09:31:00,A,RAK,MARRAKESH,MOROCCO,3,LANDED,16.0
6H,425,2024-03-13 09:15:00,2024-03-13 09:31:00,D,ETM,RAMON,ISRAEL,1,CANCELED,16.0
AA,8374,2024-03-13 09:30:00,2024-03-13 09:42:00,D,CDG,PARIS,FRANCE,3,DEPARTED,12.0
LY,319,2024-03-13 09:30:00,2024-03-13 09:42:00,D,CDG,PARIS,FRANCE,3,DEPARTED,12.0
IZ,551,2024-03-13 09:20:00,2024-03-13 09:50:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED,30.0
DL,5936,2024-03-13 09:20:00,2024-03-13 09:50:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,30.0
VS,454,2024-03-13 10:10:00,2024-03-13 09:53:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,0.0
AA,8851,2024-03-13 10:00:00,2024-03-13 10:00:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
IB,3317,2024-03-13 09:40:00,2024-03-13 10:04:00,D,MAD,MADRID,SPAIN,3,DEPARTED,24.0
LY,8397,2024-03-13 10:00:00,2024-03-13 10:11:00,D,MAD,MADRID,SPAIN,3,DEPARTED,11.0
VY,5270,2024-03-13 10:15:00,2024-03-13 10:24:00,D,MAD,MADRID,SPAIN,3,DEPARTED,9.0
AA,8388,2024-03-13 10:00:00,2024-03-13 10:24:00,D,FCO,ROME,ITALY,3,DEPARTED,24.0
AR,7877,2024-03-13 10:25:00,2024-03-13 10:28:00,D,FCO,ROME,ITALY,3,DEPARTED,3.0
LY,385,2024-03-13 10:20:00,2024-03-13 10:34:00,D,FCO,ROME,ITALY,3,DEPARTED,14.0
TP,8898,2024-03-13 10:30:00,2024-03-13 10:44:00,D,FCO,ROME,ITALY,3,DEPARTED,14.0
IZ,603,2024-03-13 10:20:00,2024-03-13 10:48:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,28.0
