Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
ET,405,2024-03-13 01:30:00,2024-03-13 01:38:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2024-03-13 01:30:00,2024-03-13 01:38:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,2524,2024-03-13 02:45:00,2024-03-13 02:32:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
A3,928,2024-03-13 03:00:00,2024-03-13 02:36:00,A,ATH,ATHENS,GREECE,3,LANDED
FB,1528,2024-03-13 03:00:00,2024-03-13 02:36:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,376,2024-03-13 02:30:00,2024-03-13 02:59:00,A,LIS,LISBON,PORTUGAL,3,LANDED
TP,8913,2024-03-13 02:30:00,2024-03-13 02:59:00,A,LIS,LISBON,PORTUGAL,3,LANDED
AM,7850,2024-03-13 02:55:00,2024-03-13 03:12:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,336,2024-03-13 02:55:00,2024-03-13 03:12:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
SK,3152,2024-03-13 02:55:00,2024-03-13 03:12:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,3010,2024-03-13 03:20:00,2024-03-13 03:20:00,A,JFK,NEW YORK,UNITED STATES,3,CANCELED
LY,2360,2024-03-13 03:40:00,2024-03-13 03:28:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
AM,7854,2024-03-13 03:55:00,2024-03-13 03:40:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,326,2024-03-13 03:55:00,2024-03-13 03:40:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3158,2024-03-13 03:55:00,2024-03-13 03:40:00,A,CDG,PARIS,FRANCE,3,LANDED
LO,151,2024-03-13 03:45:00,2024-03-13 03:45:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,9256,2024-03-13 03:45:00,2024-03-13 03:45:00,A,WAW,WARSAW,POLAND,3,LANDED
OS,859,2024-03-13 03:35:00,2024-03-13 03:55:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LY,134,2024-03-13 03:20:00,2024-03-13 04:25:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AA,9267,2024-03-13 05:05:00,2024-03-13 04:26:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
AM,7876,2024-03-13 05:05:00,2024-03-13 04:26:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,318,2024-03-13 05:05:00,2024-03-13 04:26:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
SK,3174,2024-03-13 05:05:00,2024-03-13 04:26:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
QS,1286,2024-03-13 04:35:00,2024-03-13 04:31:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
BZ,251,2024-03-13 05:05:00,2024-03-13 04:53:00,A,BCN,BARCELONA,SPAIN,3,LANDED
A3,929,2024-03-13 05:15:00,2024-03-13 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1529,2024-03-13 05:15:00,2024-03-13 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7623,2024-03-13 05:15:00,2024-03-13 05:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LO,152,2024-03-13 05:20:00,2024-03-13 05:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,9255,2024-03-13 05:20:00,2024-03-13 05:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
